ID,voivodeship_ID,name,postalCode,population,createdAt,createdBy,modifiedAt,modifiedBy
019c2dac-6a23-7b65-9b7a-665544332211,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0c,Katowice,40-001,286000,2026-02-05T09:45:00Z,seed,2026-02-05T09:46:00Z,seed
019c2dac-6a24-7bf0-8c6b-554433221100,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0c,Częstochowa,42-200,213000,2026-02-05T09:48:00Z,seed,2026-02-05T09:49:00Z,seed
019c2dac-6a25-7940-a8f5-4433221100ff,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0c,Bielsko-Biała,43-300,168000,2026-02-05T09:51:00Z,seed,2026-02-05T09:52:00Z,seed
019c2dac-6a26-7b1e-9b7c-33221100ffee,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0d,Kielce,25-001,190000,2026-02-05T09:54:00Z,seed,2026-02-05T09:55:00Z,seed
019c2dac-6a27-7aab-a6fd-221100ffeedd,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0d,Ostrowiec Świętokrzyski,27-400,68000,2026-02-05T09:57:00Z,seed,2026-02-05T09:58:00Z,seed
019c2dac-6a28-7b9c-9b6e-1100ffeeddcc,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0d,Sandomierz,27-600,24000,2026-02-05T10:00:00Z,seed,2026-02-05T10:01:00Z,seed
019c2dac-6a29-78a8-8c7d-00ffeeddccbb,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0e,Olsztyn,10-001,171000,2026-02-05T10:03:00Z,seed,2026-02-05T10:04:00Z,seed
019c2dac-6a2a-7b02-9b6a-ffeeddccbbaa,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0e,Elbląg,82-300,118000,2026-02-05T10:06:00Z,seed,2026-02-05T10:07:00Z,seed
019c2dac-6a2b-7c33-8c7c-eeddccbbaa99,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0e,Ełk,19-300,63000,2026-02-05T10:09:00Z,seed,2026-02-05T10:10:00Z,seed
019c2dac-6a2c-7c61-bb6f-ddccbbaa9988,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0f,Poznań,60-001,541000,2026-02-05T10:12:00Z,seed,2026-02-05T10:13:00Z,seed
019c2dac-6a2d-7a24-9b6b-ccbbaa998877,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0f,Kalisz,62-800,97000,2026-02-05T10:15:00Z,seed,2026-02-05T10:16:00Z,seed
019c2dac-6a2e-7b20-8b6e-bbaa99887766,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c0f,Konin,62-500,72000,2026-02-05T10:18:00Z,seed,2026-02-05T10:19:00Z,seed
019c2dac-6a2f-7d4b-9b61-aa9988776655,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c10,Szczecin,70-001,390000,2026-02-05T10:21:00Z,seed,2026-02-05T10:22:00Z,seed
019c2dac-6a30-7e79-9b74-998877665544,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c10,Koszalin,75-001,106000,2026-02-05T10:24:00Z,seed,2026-02-05T10:25:00Z,seed
019c2dac-6a31-7eff-88b6-685269f7ce08,018f2c41-1f2a-7b4d-8a91-9f1c2a3b4c10,Świnoujście,72-600,40000,2026-02-05T10:27:00Z,seed,2026-02-05T10:28:00Z,seed
